ID;in_degree;out_degree;betweenness;closeness;eigenvector;clustering_coeff;pagerank;hubs;authorities;max_clique;cliques_count;work_at_weekend;neighborhood_variability_sender;neighborhood_variability_recipient;neighborhood_variability_all
114;0.2159090909090909;0.19318181818181815;0.07562695924764891;12.903326174907715;0.10599978800063596;0.012563043206364307;0.01932288881777249;0.013371172290399145;0.018639373393053382;9;26;3;0.44155844155844154;0.4722222222222222;0.5
38;0.17045454545454547;0.17045454545454547;0.025862068965517244;13.261288069066858;0.10599978800063596;0.019386270465070344;0.011549566215159986;0.007253387315725319;0.010785339849398995;10;16;7;0.3333333333333333;0.5;0.5
65;0.2272727272727273;0.13636363636363635;0.011363636363636364;13.36111543736032;0.10599978800063596;0.016421097025297447;0.01884631924585598;0.0061550556607853244;0.015140193984133419;10;25;0;0.0;0.4365079365079365;0.5
37;0.26136363636363635;0.26136363636363635;0.08072100313479624;12.946862603897733;0.105999788000636;0.020019022617895826;0.021484190986367755;0.011103238123168336;0.019075476023794845;12;38;1;0.36363636363636365;0.4444444444444444;0.38461538461538464
12;0.23863636363636365;0.2727272727272727;0.06570010449320794;12.586378299699273;0.10599978800063603;0.014468803469819894;0.016404700057417346;0.008838578625463916;0.0106416329658372;11;38;36;0.3333333333333333;0.4;0.42708333333333337
22;0.125;0.10227272727272728;0.03735632183908046;12.618759502750569;0.10599978800063592;0.01950693573928924;0.013855953816401386;0.004361077415939812;0.011779293742729298;5;9;0;0.5;0.29166666666666663;0.5
160;0.05681818181818182;0.03409090909090909;0.0;11.795410143421506;0.10599978800063596;0.10393181635687006;0.01021450609298412;0.006717698522601544;0.003948047044591553;5;2;0;0.6666666666666666;0.5;0.5
107;0.4090909090909091;0.5227272727272727;0.24869383490073144;12.94896435159428;0.10599978800063604;0.014524280081830104;0.03755051865914877;0.01784981879916686;0.07073388422509841;12;180;17;0.3333333333333333;0.3944444444444445;0.36141304347826086
96;0.20454545454545456;0.18181818181818185;0.029911180773249738;13.254442238040983;0.10599978800063596;0.012317418558027982;0.00986616723286102;0.03324437686141266;0.005887285817752723;10;29;0;0.3333333333333333;0.45;0.4
51;0.2727272727272727;0.2159090909090909;0.0024817136886102404;11.914714723168375;0.10599978800063596;0.02670776635351657;0.02051722376523769;0.026843536325201964;0.023459122676025214;12;49;2;0.17142857142857143;0.3666666666666667;0.3333333333333333
17;0.06818181818181818;0.14772727272727273;0.012408568443051205;10.524726964513242;0.10599978800063592;0.02097321559732099;0.012652419649492116;0.003634742474569055;0.009659452678850385;6;14;8;0.5;0.5;0.5
26;0.11363636363636365;0.05681818181818182;0.0002612330198537096;13.248645450815758;0.10599978800063596;0.008472663158602985;0.003352113647487227;0.004654164836503888;0.002305730324723449;5;10;0;0.5;0.0;0.3333333333333333
95;0.125;0.13636363636363635;0.0109717868338558;12.988594652101302;0.10599978800063596;0.02451251618588306;0.015364793437872285;0.0011183755292787127;0.0031076620450425194;9;9;3;0.4642857142857143;0.6;0.55
27;0.3068181818181818;0.3522727272727273;0.10410135841170323;12.430774284323899;0.10599978800063592;0.015405048104357569;0.02001818888574512;0.023072345311773327;0.02300578058547048;12;82;23;0.35714285714285715;0.3333333333333333;0.4117647058823529
146;0.2159090909090909;0.26136363636363635;0.03970741901776385;12.754598389851393;0.10599978800063596;0.015996573340095768;0.02181146824058047;0.01358830618392143;0.014618720326210638;12;45;22;0.5;0.42857142857142855;0.4444444444444444
34;0.23863636363636365;0.2727272727272727;0.08685997910135843;12.761723389134307;0.10599978800063592;0.013478295681777464;0.020123198427377243;0.013381685404058027;0.01395641855919944;12;55;75;0.6;0.5;0.5
73;0.2727272727272727;0.3181818181818182;0.16901776384535006;12.779408891269744;0.1059997880006359;0.012951636005100948;0.017829921253714638;0.010673767232507616;0.013686995711734777;12;71;89;0.3819444444444444;0.5;0.4494949494949495
63;0.14772727272727273;0.3636363636363637;0.25901253918495304;12.818360949906358;0.105999788000636;0.00943033906390648;0.02481757996848152;0.008093505543883352;0.03999516406075352;12;49;197;0.5555555555555556;0.5;0.5384615384615384
67;0.18181818181818185;0.2840909090909091;0.0;13.071937435521546;0.105999788000636;0.017530723781228344;0.006025310946385353;0.010161055996038941;0.005544851838362414;12;59;0;0.08695652173913043;0.16666666666666666;0.11666666666666667
94;0.19318181818181815;0.4204545454545455;0.011755485893416929;12.940955335155827;0.10599978800063604;0.008631731975128695;0.006098020248319588;0.009114306719330036;0.004860779816779051;12;89;16;0.08333333333333333;0.26136363636363635;0.2403846153846154
88;0.06818181818181818;0.011363636363636364;0.0;12.533734331200506;0.10599978800063596;0.0582098602924726;0.008803892221628218;0.004710099308334713;0.0038505094517746366;5;3;0;1.0;0.5;0.5
39;0.11363636363636365;0.11363636363636365;0.04205851619644724;11.631307483499661;0.10599978800063592;0.02892240948596765;0.017784961062805374;0.00765223696211063;0.02448112026119097;5;11;1;0.5;0.5;0.5
