ID;in_degree;out_degree;betweenness;closeness;eigenvector;clustering_coeff;pagerank;hubs;authorities;max_clique;cliques_count
114;0.2159090909090909;0.19318181818181818;0.07562695924764891;12.903326174907717;0.10599978800063597;0.012563043206364309;0.019322888817772492;0.013371172290399145;0.01863937339305338;9;26
38;0.17045454545454547;0.17045454545454547;0.025862068965517244;13.261288069066858;0.10599978800063597;0.019386270465070344;0.011549566215159986;0.007253387315725318;0.010785339849398995;10;16
65;0.2272727272727273;0.13636363636363635;0.011363636363636364;13.36111543736032;0.10599978800063595;0.016421097025297447;0.01884631924585598;0.006155055660785324;0.01514019398413342;10;25
37;0.26136363636363635;0.26136363636363635;0.08072100313479624;12.946862603897735;0.10599978800063599;0.020019022617895826;0.021484190986367755;0.011103238123168336;0.019075476023794852;12;38
12;0.23863636363636365;0.2727272727272727;0.06570010449320794;12.586378299699273;0.10599978800063602;0.014468803469819894;0.016404700057417346;0.008838578625463916;0.0106416329658372;11;38
22;0.125;0.10227272727272728;0.03735632183908046;12.618759502750569;0.10599978800063593;0.01950693573928924;0.013855953816401386;0.004361077415939812;0.011779293742729298;5;9
160;0.05681818181818182;0.03409090909090909;0.0;11.795410143421504;0.10599978800063595;0.10393181635687006;0.010214506092984119;0.006717698522601544;0.003948047044591553;5;2
107;0.4090909090909091;0.5227272727272727;0.24869383490073146;12.948964351594281;0.10599978800063603;0.014524280081830102;0.03755051865914877;0.017849818799166865;0.07073388422509841;12;180
96;0.20454545454545456;0.18181818181818182;0.02991118077324974;13.254442238040983;0.10599978800063595;0.012317418558027982;0.00986616723286102;0.03324437686141266;0.005887285817752723;10;29
51;0.2727272727272727;0.2159090909090909;0.0024817136886102404;11.914714723168377;0.10599978800063596;0.026707766353516574;0.02051722376523769;0.026843536325201964;0.023459122676025217;12;49
17;0.06818181818181818;0.14772727272727273;0.012408568443051203;10.524726964513242;0.10599978800063593;0.02097321559732099;0.012652419649492116;0.003634742474569055;0.009659452678850383;6;14
26;0.11363636363636365;0.05681818181818182;0.00026123301985370953;13.24864545081576;0.10599978800063597;0.008472663158602985;0.003352113647487227;0.0046541648365038876;0.0023057303247234493;5;10
